name,glottocode,lon,lat
Cebuano,cebu1242,118.66202132879967,9.800319729000044
Cebuano,cebu1242,123.10030025645565,9.954624740700531
Cebuano,cebu1242,119.15920697130346,10.57416413000007
Cebuano,cebu1242,119.27844338253263,10.843349514000057
Cebuano,cebu1242,119.27793666772195,10.988633530500064
Cebuano,cebu1242,119.73396927045583,11.019232489000046
Cebuano,cebu1242,119.67984011582121,11.052313543500045
Cebuano,cebu1242,119.61078216160965,11.051865952500062
Cebuano,cebu1242,119.68789003197926,11.10079580250007
Cebuano,cebu1242,119.59303306175437,11.16388580950007
Cebuano,cebu1242,119.34991206741134,11.221828517500054
Cebuano,cebu1242,119.67143065227103,11.29592519750005
Cebuano,cebu1242,125.43802327259777,7.749416408000055
Cebuano,cebu1242,123.79746132730673,9.596584377500072
Cebuano,cebu1242,124.22740229889259,9.882310288500063
Cebuano,cebu1242,124.22192336125339,10.189744370500081
Cebuano,cebu1242,124.05091714631934,10.263230698500076
Cebuano,cebu1242,123.97052658574003,10.288272019168371
Cebuano,cebu1242,123.79307295021457,10.341843980000043
Cebuano,cebu1242,123.88680270324315,11.316555080500056
Cebuano,cebu1242,124.44607292864391,11.582902285495434
Cebuano,cebu1242,123.665812805905,11.88438548400006
Cebuano,cebu1242,124.30680076895321,11.931362209500064
Cebuano,cebu1242,124.41856509305467,11.977097886000045
Cebuano,cebu1242,124.17638794976834,12.056992906000062
Cebuano,cebu1242,124.3952044625492,12.284281743459733
Cebuano,cebu1242,125.69760814432765,6.937913316000072
Cebuano,cebu1242,125.75178097493662,7.0339012720000635
Cebuano,cebu1242,124.72357675390366,9.16644928600007
Cebuano,cebu1242,125.96878352137145,9.668158270500065
Cebuano,cebu1242,125.64906734414296,9.69769928600007
Cebuano,cebu1242,125.71713329690866,9.784877834000067
Cebuano,cebu1242,125.51983717184385,9.891607977500055
Cebuano,cebu1242,126.06646441989656,9.928981838000052
Cebuano,cebu1242,125.0711182655669,9.930121161000066
Cebuano,cebu1242,125.21655353378156,10.045904852500055
Cebuano,cebu1242,124.55931158146876,10.103501695000059
Cebuano,cebu1242,125.59758442432624,10.160284735000058
Cebuano,cebu1242,125.48272165445073,10.442775783000057
Cebuano,cebu1242,124.83846818743893,10.772975979000048
Cemuhî,cemu1238,165.13447328384257,-20.88072599668536
Khmer,cent1989,105.84035274398977,9.336045640000057
Khmer,cent1989,106.40262391150728,9.710028387500039
Khmer,cent1989,106.11677007863281,9.84112285009802
Khmer,cent1989,103.97466067825002,10.314479885000079
Khmer,cent1989,103.25908903528841,10.729112046000065
Khmer,cent1989,103.01635199121954,11.342393296000036
Khmer,cent1989,103.02480514796031,11.484523830500079
Khmer,cent1989,104.74031672900716,12.302753255623877
Central Mnong,cent1992,107.03294781716411,12.622918120903158
Bai [Bai],cent2004,102.61347053589633,24.989260755250854
Bai [Bai],cent2004,99.75070047325164,25.924736130967652
Banda,cent2022,21.48161063802796,4.869005261830837
Banda,cent2022,21.844496556412388,5.607270911963397
Banda,cent2022,23.076711253433558,5.606207854914724
Banda,cent2022,20.974275481593985,5.845951157938636
Banda,cent2022,24.703226808607347,6.182502598215274
Banda,cent2022,16.75720041813244,6.332995988082229
Banda,cent2022,17.46345420038477,6.388049209059798
Banda,cent2022,18.334978197156985,6.712721262793354
Banda,cent2022,20.305064274354706,8.657821683928113
Kanuri,cent2050,18.567322608023716,17.05841421993771
Central Maewo,cent2058,166.8040289870359,-22.428399346999957
Central Maewo,cent2058,168.13432025814552,-15.07317473749993
So'a,cent2074,121.03877527137621,-8.692026260488028
So'a,cent2074,120.91438793387564,-8.586505954253237
Central Cagayan Agta,cent2084,121.84593252967156,17.997625213495667
Central Subanen,cent2089,123.23746140011187,8.15790436400004
Central Sama,cent2092,120.10206232130898,5.240057684000046
Central Sama,cent2092,120.73546048519853,5.467311916000085
Central Sama,cent2092,120.77589885435557,5.5309715840000635
Central Sama,cent2092,120.85241281648652,5.537343845084086
Kadazan-Dusun,cent2100,116.7009911726502,6.00257562594241
Melanau,cent2101,111.67006108985363,2.3715274110000735
Melanau,cent2101,111.34499875264595,2.6173363300000503
Melanau,cent2101,111.88470905546387,2.7658088079817382
Melanau,cent2101,112.54120141886088,2.936683801034391
Central Asmat,cent2117,138.88276294378926,-6.87417019680348
Central Asmat,cent2117,138.63097596247104,-5.44976165149993
Central Southern Ojibwe,cent2136,-87.32802424539724,49.53243969200005
Central Southern Ojibwe,cent2136,-97.41405493781592,51.66791414550005
Central Pomo,cent2138,-123.09068982390855,38.701404472000064
Central Sierra Miwok,cent2140,-119.83374669093757,37.978883575000054
Central Pame,cent2145,-99.31770232223957,21.71767589608138
"Central Sapoteko, Central Zapoteco, Central Sapoteko",cent2146,-96.746450002792,17.1341976733477
